수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://+:80/Temporary_Listen_Addresses/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:33,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"URL http://*:5357/ 예약하려고 했습니다. 상태 0x0. 프로세스 ID 0x4 실행 파일 경로 , 사용자 SYSTEM"
정보,2025-11-21 오후 4:34:32,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 클라이언트 서비스가 시작되었습니다.
정보,2025-11-21 오후 4:34:32,Microsoft-Windows-Dhcp-Client,50036,서비스 상태 이벤트,DHCPv4 클라이언트 서비스가 시작되었습니다.
정보,2025-11-21 오후 4:34:32,Microsoft-Windows-Dhcp-Client,50103,서비스 상태 이벤트,DHCPv4 클라이언트가 종료 알림을 등록했습니다.
정보,2025-11-21 오후 4:34:32,Microsoft-Windows-Dhcp-Client,50036,서비스 상태 이벤트,DHCPv4 클라이언트 서비스가 시작되었습니다.
정보,2025-11-21 오후 4:34:27,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'applockerfltr'(10.0, ‎1975‎-‎07‎-‎15T22:17:11.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:34:24,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'bindflt'(10.0, ‎2055‎-‎05‎-‎15T06:17:06.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:34:24,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'storqosflt'(10.0, ‎2021‎-‎03‎-‎19T19:47:34.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:34:24,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'CldFlt'(10.0, ‎2029‎-‎01‎-‎27T13:44:20.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:34:24,Microsoft-Windows-FilterManager,1,없음,"파일 시스템 필터 'CldFlt'(버전 10.0, ‎2029‎-‎01‎-‎27T13:44:20.000000000Z)을(를) 성공적으로 언로드했습니다."
정보,2025-11-21 오후 4:34:24,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'CldFlt'(10.0, ‎2029‎-‎01‎-‎27T13:44:20.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:34:24,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'UnionFS'(10.0, ‎2047‎-‎02‎-‎21T20:01:20.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:34:24,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'wcifs'(10.0, ‎2099‎-‎02‎-‎09T22:05:05.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
오류,2025-11-21 오후 4:34:23,Service Control Manager,7000,없음,"다음 오류로 인해 luafv 서비스를 시작하지 못했습니다. 
이 드라이버가 차단되었기 때문에 로드할 수 없습니다."
정보,2025-11-21 오후 4:34:23,Microsoft-Windows-FilterManager,6,없음,"파일 시스템 필터 'bfs'(10.0, ‎1984‎-‎12‎-‎31T19:08:23.000000000Z)을(를) 성공적으로 로드하고 필터 관리자에 등록했습니다."
정보,2025-11-21 오후 4:34:22,Microsoft-Windows-Directory-Services-SAM,16983,없음,"이제 보안 계정 관리자는 레거시 암호 변경을 호출하거나 RPC 메서드를 설정하는 원격 클라이언트에 대해 주기적인 요약 이벤트를 로깅합니다.

자세한 내용은 https://go.microsoft.com/fwlink/?linkid=2150956을 참조하세요.
"
정보,2025-11-21 오후 4:34:22,Microsoft-Windows-Directory-Services-SAM,16977,없음,"도메인은 다음과 같은 최소 암호 길이 관련 설정으로 구성되었습니다.

MinimumPasswordLength: 0

RelaxMinimumPasswordLengthLimits: 0

MinimumPasswordLengthAudit: -1

자세한 내용은 https://go.microsoft.com/fwlink/?LinkId=2097191을 참조하세요.
"
정보,2025-11-21 오후 4:34:22,Microsoft-Windows-Directory-Services-SAM,16962,없음,"SAM 데이터베이스에 대한 원격 호출이 기본 보안 설명자를 사용하여 제한되고 있습니다. O:SYG:SYD:(A;;RC;;;BA).
자세한 내용은 http://go.microsoft.com/fwlink/?LinkId=787651을 참조하세요."
정보,2025-11-21 오후 4:34:21,LsaSrv,6156,없음,"Credential Guard 자동 활성화 상태.

가상화 기반 보안을 위한 하드웨어 요구 사항:	1
도메인 가입:	0
Azure AD 가입:	0
 Credential Guard 라이선스:	0
도메인 컨트롤러:	0"
정보,2025-11-21 오후 4:34:21,Microsoft-Windows-Wininit,12,없음,LSASS.exe가 4 수준의 보호된 프로세스로 시작되었습니다.
정보,2025-11-21 오후 4:34:21,Microsoft-Windows-Wininit,14,없음,"Credential Guard 구성:

레지스트리 구성: 0x0
테스트 구성: 0
자동 사용: 0"
정보,2025-11-21 오후 4:34:21,Microsoft-Windows-Wininit,23,없음,"부팅 앱 롤백 방지: 초기화 완료 상태: 
HRESULT: 작업을 완료했습니다.
새 타이머 필요: false
새 타이머가 시스템 업데이트 완료를 기다리는 중: false
이전 래치 타이머가 있지만 레지스트리에 의해 비활성화됨: false
"
정보,2025-11-21 오후 4:34:21,Microsoft-Windows-Wininit,25,없음,"부팅 앱 롤백 방지: 이전 타이머가 상태:

HRESULT: 작업을 완료했습니다.
이전 타이머 있음: true
시작 시간: ‎2025‎-‎11‎-‎19T01:28:04.798047000Z
유예 기간: 51840000000000
복구 시도 성공: false
"
